 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2011-2014
"Município";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"Total"
"110143 Nova União";-;-;-;5220,85;9162,66;4542,56;4969,24;6815,32;11733,84;4976,37;9356,56;9507,79;3423,12;5453,97;4844,02;17278,35;11125,81;21723,20;13521,14;10275,93;4799,96;7525,07;18526,47;13138,92;19632,72;15764,27;15352,21;13090,02;6647,44;14338,64;17659,27;15935,38;43540,58;36999,58;49410,80;43299,92;41564,35;17274,19;19738,56;25628,07;10147,82;7861,18;27755,89;34376,69;19101,68;15202,34;30855,76;21412,43;28926,66;35786,93;26977,02;852201,55
"110050 Novo Horizonte do Oeste";-;-;-;6469,56;7275,71;10337,43;13644,65;12262,95;20485,95;10171,75;14556,14;6652,37;12876,68;13573,16;17220,32;7725,69;9713,30;11536,58;26099,43;24523,60;22448,99;21838,20;25503,19;30405,42;23331,59;24033,29;19000,55;7099,60;6824,75;26070,32;17131,52;16945,52;25707,77;27136,99;19627,69;30501,74;28164,58;27817,86;22409,25;21679,17;25126,73;22221,50;19771,54;25355,49;27492,67;24885,42;21259,10;31492,17;39559,45;29053,15;40027,05;975047,53
"110015 Ouro Preto do Oeste";-;-;-;175920,55;224941,39;159466,38;249672,58;114440,40;270071,57;168321,09;139964,89;115352,06;113180,30;112522,81;96340,48;111285,47;107228,16;139119,53;148829,88;169419,96;135979,78;148562,95;164919,41;144995,85;151616,37;131975,30;144741,91;135113,57;140047,72;110989,52;139169,40;159319,38;147081,84;188938,16;175596,63;197803,21;150338,03;184401,07;187664,81;153292,96;175457,53;180073,55;167886,99;185728,67;186720,90;200281,10;221888,26;168201,86;174510,89;209617,61;215220,80;7794213,53
"110145 Parecis";-;-;13,28;7591,71;3874,76;3722,10;4152,11;5633,79;7753,61;5340,39;6756,62;11294,72;6413,15;3495,54;6424,77;9280,51;10180,18;6965,76;3199,55;12360,00;12134,44;13408,30;15257,73;6613,86;5517,72;3820,28;2646,77;1795,17;2189,14;7196,57;5956,23;9833,43;4525,60;4194,46;6721,36;8372,04;4664,70;5763,12;884,52;2880,00;3104,93;3526,61;3110,93;4260,92;7454,69;5010,49;7453,30;7227,23;13180,72;10946,26;7300,40;311404,47
"110018 Pimenta Bueno";-;-;-;38204,35;67362,03;64429,05;44425,23;62232,30;57544,01;76290,94;83295,43;73079,20;74410,15;56522,68;48015,26;33122,64;49808,23;73753,10;88360,63;93762,47;97469,28;76461,34;98817,86;72531,83;77032,00;87790,07;81686,41;80222,88;84740,53;89661,29;82594,45;88367,22;108549,47;93992,77;98803,11;122955,26;138370,38;116655,65;107914,43;100304,00;126479,57;142989,14;129583,02;113188,33;132343,40;132304,56;125724,35;166743,32;184573,58;170393,58;191344,64;4605205,42
"110146 Pimenteiras do Oeste";-;-;-;2290,39;2521,20;2245,83;3407,70;2413,62;7340,69;2256,90;2695,58;2445,40;2719,65;2318,08;5308,42;5876,28;4444,79;7706,81;3794,63;3502,82;9526,63;9779,06;5881,42;3918,82;5657,56;7339,13;5905,44;2685,32;4787,03;3949,56;3893,28;3649,34;3945,91;3076,71;5988,94;3629,09;4193,40;6471,01;5999,37;2901,85;9396,51;6600,47;5767,54;6646,86;5952,27;8464,19;5613,93;5786,69;8416,75;8580,60;6052,15;243745,62
"110020 Porto Velho";-;1649,54;12073,65;1614828,30;1708228,76;2007698,25;2065719,21;2015569,59;2354809,16;2107968,26;1934465,11;1959034,43;1928734,40;1972529,70;1860420,26;1939922,67;1826657,80;2195582,88;2206054,81;2573348,05;2709648,19;2595693,95;2797026,13;2249951,59;2472509,44;2431903,90;2872616,25;2545312,47;2546354,20;2505222,28;2330668,45;2670899,51;2792870,67;3124504,10;3056373,81;3079177,07;3589832,41;3769312,91;3026726,36;2599845,47;2578326,72;2846260,42;2720110,06;3123464,04;2999209,34;3168341,53;3162609,70;2897107,83;2952728,46;3193601,31;2999571,80;122693075,20
"110025 Presidente Médici";-;-;-;77936,04;98220,25;111468,26;101077,29;171240,39;115810,16;415801,68;859985,86;97051,16;84758,69;108891,37;84474,07;94435,13;94898,15;126324,93;109073,95;121161,40;123911,19;151271,89;137746,98;92885,73;97225,43;90000,07;107212,09;68449,98;62814,26;94784,56;53309,71;55186,50;59946,81;50157,84;55404,36;70623,49;49080,01;57093,88;66936,72;51584,54;57268,28;73131,78;71792,70;75016,00;82086,86;71139,84;60783,64;57662,83;63673,27;72558,02;79916,59;5233264,63
"110147 Primavera de Rondônia";-;-;-;2619,20;4095,02;6894,40;11772,43;4331,44;9231,06;6326,92;2722,99;3571,09;3546,07;4084,73;3231,77;2105,20;4557,33;4051,98;2368,36;3253,18;4133,88;10094,87;7081,59;7050,94;3228,28;3497,13;6934,10;4752,47;2762,97;4189,58;4128,87;5742,07;9127,26;5914,03;11654,73;7604,11;9448,07;5401,11;3344,26;9651,21;6141,48;2615,38;18466,10;6935,73;9300,70;7160,03;11497,16;5330,59;4540,59;6799,71;14030,48;297322,65
"110026 Rio Crespo";-;-;-;4313,62;5955,64;9238,63;10788,54;15003,33;14900,39;5863,68;5561,39;6239,11;10051,08;6932,42;7006,57;14058,13;5804,92;10210,92;4656,99;7240,64;6036,41;12013,33;13584,08;16102,98;18320,22;24569,34;26358,84;8922,54;3728,55;31428,41;10509,69;13760,08;7460,23;15922,73;6604,38;16204,40;15868,96;16270,39;27896,54;12221,34;8003,82;13126,13;14180,57;14038,95;17707,47;21117,94;19595,96;26468,87;20303,22;20229,62;11267,15;633649,14
"110028 Rolim de Moura";-;800,00;359,94;97414,39;122142,84;161554,98;151048,15;134877,68;161332,69;152761,32;138094,12;108095,02;130351,93;123590,70;128180,16;94499,49;113995,63;203964,38;248747,64;244336,68;264833,42;265686,27;255548,75;195748,21;225236,51;237627,87;234709,04;136974,39;121829,22;151002,27;146658,86;141848,79;165395,99;196580,66;206024,56;219264,71;225368,98;233698,77;270414,80;195864,50;172212,94;260471,47;269943,06;267181,09;235703,53;212603,64;256512,50;236605,16;267017,68;297125,86;215274,55;9297115,79
"110029 Santa Luzia D'Oeste";-;-;-;10154,66;13984,67;16789,10;14544,95;14096,67;16620,61;12766,87;13598,63;11944,14;31677,40;12644,31;10008,70;14060,37;19834,80;28975,66;6735,73;18599,90;24728,82;27163,79;22711,98;22922,47;17612,52;16490,29;14919,06;18193,04;21417,93;26549,94;14033,44;18629,08;18105,54;18739,35;26830,38;23183,01;26629,39;23117,15;29461,09;28657,09;29628,37;49818,58;23605,23;27426,51;24910,97;28975,46;29425,32;30129,96;36129,72;39397,07;33334,39;1059914,11
"110148 São Felipe D'Oeste";-;-;-;8231,64;6509,83;4632,72;3680,94;9232,54;3987,29;8312,30;3555,57;5245,75;7684,52;12779,24;8063,25;11356,34;9308,70;4442,63;13452,36;19007,69;12878,36;16761,04;15539,24;25478,28;28452,51;19093,87;12315,90;26081,64;8157,92;17717,76;15680,11;13894,32;16275,41;13700,46;19220,16;14833,60;27707,64;18595,89;18849,81;17725,78;21034,97;9816,43;14379,80;19421,42;20377,77;21926,88;31612,53;18725,36;11744,24;13455,76;13081,63;694019,80
"110149 São Francisco do Guaporé";-;-;-;8717,57;7554,41;8012,82;12073,67;11304,62;12345,48;16346,95;6994,37;12415,48;8436,02;8270,23;7463,24;10152,45;11696,55;25947,80;26890,79;23373,52;32957,71;39003,03;37787,19;13374,47;23010,45;36827,15;16853,59;29221,58;28836,48;31390,35;33613,49;16351,50;26031,42;27539,87;32767,64;51825,92;41548,40;46673,76;33821,72;33408,92;24764,80;38023,43;34720,05;40409,03;34907,69;45377,22;32196,99;34307,51;83261,25;103188,16;30409,47;1352406,21
"110032 São Miguel do Guaporé";-;-;2149,50;17056,35;29001,76;30746,50;27405,32;37269,04;39662,38;35417,50;38242,57;47933,18;30811,47;41397,46;38646,61;37773,06;56351,21;43616,30;44487,16;71266,32;84027,96;71267,71;52242,98;41148,13;45589,73;68994,74;44442,47;27658,73;52596,86;42397,26;54808,02;43412,19;48805,75;61099,11;45817,78;48638,22;66281,31;78579,83;94699,22;57171,08;46237,21;52855,28;78631,14;85639,95;70332,14;75633,89;78076,86;87707,95;72527,53;96255,66;95904,70;2638715,08
