 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2015-2017
"Município";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"Total"
"110145 Parecis";-;-;-;6693,02;7628,75;14500,13;9605,07;4908,53;8376,71;9590,99;10409,48;11776,83;10395,78;13946,00;12072,39;8036,12;15807,27;14724,14;16490,70;7947,14;7183,86;8866,36;12261,76;13373,94;6690,86;9349,09;12064,40;17958,92;9714,95;11015,36;7562,33;4933,48;6994,73;12200,86;11865,56;7245,05;9354,54;9222,81;5455,21;366223,12
"110018 Pimenta Bueno";-;-;588,06;219608,68;147838,38;235419,34;191696,40;204686,67;195044,20;199134,17;227976,61;169411,68;145542,74;219293,64;210896,05;171145,60;166830,01;262286,82;299612,38;213519,11;257509,65;173019,75;187393,74;219028,96;198064,51;159573,05;197861,53;210035,45;160853,11;149593,04;155002,39;184836,25;165131,00;203500,12;160165,24;157231,01;174924,09;191030,18;196091,09;6981374,70
"110146 Pimenteiras do Oeste";-;-;-;4779,38;6350,94;5768,51;5171,72;13905,09;8855,64;5096,44;9423,50;6305,12;13063,02;5508,59;20098,78;12291,44;5976,87;9325,32;7883,64;6622,71;5526,25;9818,08;9902,36;10991,50;8117,13;6822,76;9856,14;2813,55;2441,55;3293,05;5881,89;5813,31;4537,13;5279,91;5288,45;8791,79;9641,19;11670,00;7543,94;280456,69
"110020 Porto Velho";-;2997,13;3646,89;3433496,95;3389890,79;3173203,28;3250278,57;3209938,35;3478205,69;3153963,02;3376994,45;3071871,07;2907308,32;3416111,34;3690737,89;2934842,25;3062185,22;3618579,02;3388301,93;3208733,00;3251919,49;3016950,37;3185660,15;3484341,44;3098535,98;2827304,14;3219370,54;3178835,31;2585071,25;2730828,64;2617367,17;2721318,41;2801398,70;3066889,67;2984364,76;2595902,93;2713706,01;2991696,21;3052315,82;111895062,15
"110025 Presidente Médici";-;-;225,00;82388,58;86238,00;109416,81;76100,59;80465,01;91006,49;94776,35;103212,42;91438,27;81985,77;99499,10;104074,75;85438,09;84249,71;99223,88;102176,70;89946,92;148750,14;126598,63;127093,63;116440,10;123213,58;115607,03;126644,33;112946,02;105914,48;98594,31;97646,29;101941,03;93010,20;117557,65;111064,27;97770,75;93879,51;110152,40;111436,49;3698123,28
"110147 Primavera de Rondônia";-;-;-;11831,24;7367,88;14890,11;10189,29;17700,84;9337,56;25487,38;20464,99;7830,74;8067,80;13750,65;17289,59;10342,96;18262,29;14985,62;16415,72;7095,70;8514,26;8806,82;15689,36;25569,59;10682,35;3831,25;13419,14;7052,49;7108,83;20505,14;9555,73;12211,37;10726,60;9889,46;11390,87;7632,35;6844,12;10794,53;6168,59;437703,21
"110026 Rio Crespo";-;-;-;34388,62;33145,13;25230,45;21752,30;27317,52;23305,28;10559,37;19970,78;27953,76;12636,49;24620,86;26672,00;9282,82;15477,29;21750,00;17316,28;21929,17;17936,31;26887,60;23135,44;30032,84;19727,34;33402,02;25357,27;24304,82;19367,57;19081,93;19097,53;14246,07;13604,77;22316,74;20282,23;15766,89;16119,51;14316,80;20074,99;768366,79
"110028 Rolim de Moura";-;45,00;-;289474,71;251261,84;324358,09;382903,83;338744,83;300089,12;280918,42;258777,24;240261,04;213908,17;285025,74;318735,42;270026,56;319020,21;304167,25;325159,99;322319,32;329011,63;318644,05;288733,14;343037,37;270272,53;278662,73;306011,33;288692,33;249430,44;215983,60;242085,71;227739,73;230496,87;327017,93;259095,60;239245,29;229242,52;221585,85;250129,45;10140314,88
"110029 Santa Luzia D'Oeste";-;-;-;28712,99;29050,88;33867,64;25715,39;40086,66;23270,14;42962,27;31551,26;30712,46;30908,66;37095,08;32731,05;32602,10;33271,52;32002,69;31771,53;39479,98;46731,96;34722,74;51961,09;63375,66;46582,57;36010,54;49581,78;45841,52;43240,67;45424,24;37742,68;30026,06;29606,74;42826,49;48459,05;47850,42;33338,68;38318,37;45868,88;1373302,44
"110148 São Felipe D'Oeste";-;-;-;26556,17;11240,02;12014,19;18478,41;22604,17;21204,23;20051,52;16838,01;17273,14;13363,51;29332,06;26020,63;23979,69;22275,31;15262,94;18363,55;23359,67;26369,09;26522,51;16734,60;27881,30;23543,73;39823,59;18611,40;16636,19;23547,67;22247,33;21184,15;20608,74;21510,89;23605,17;22007,28;20789,84;22601,08;21330,79;25947,42;779719,99
"110149 São Francisco do Guaporé";-;-;-;54670,40;58069,67;41513,60;42749,68;47519,54;71203,71;54678,96;62304,35;51746,72;46918,98;54759,69;43970,47;36598,37;41490,27;56242,55;66800,52;50903,88;62725,91;48088,26;56517,35;67240,60;62219,21;64235,64;62803,23;69908,13;51528,59;44551,23;55880,56;59550,19;61450,64;75718,59;86156,24;103260,06;99585,27;86122,97;72005,02;2171689,05
"110032 São Miguel do Guaporé";-;400,00;45,00;90389,34;74682,21;83714,32;96810,09;82030,55;74092,47;86900,41;80963,09;80149,83;67157,10;75853,35;85863,87;62268,55;56314,66;85698,93;74463,94;58932,14;75352,68;63467,13;82344,78;82065,41;77533,28;85707,97;89749,64;79001,27;70441,87;69790,45;60478,37;68675,12;67216,38;82757,89;68600,27;55862,44;80670,80;64552,44;75546,82;2716544,86
"110150 Seringueiras";-;-;-;34024,66;12322,80;21474,32;29374,34;21083,53;26528,44;28625,76;41320,57;26000,69;21408,89;46135,87;23442,36;24152,45;27528,84;22284,17;29412,45;40869,36;32350,12;22851,56;16753,01;32938,64;32697,49;36646,99;25059,52;31043,89;26443,54;47036,67;17469,96;21672,37;34302,17;28946,35;38518,79;31870,02;32530,05;32459,70;34168,07;1051748,41
"110155 Teixeirópolis";-;-;45,00;14047,95;8153,20;15261,27;6254,81;20235,65;21406,60;20741,78;25883,25;19005,39;21713,26;21795,66;23098,23;13801,46;11269,86;15675,65;12013,10;13685,86;12726,32;21415,85;16228,27;22255,02;16023,33;23075,26;17563,32;25130,91;17446,06;23126,00;11506,04;15918,04;13812,98;14793,15;22263,21;20110,30;11471,82;15976,66;10507,48;615438,00
"110160 Theobroma";-;-;24,27;30176,57;38038,46;43103,09;32595,53;34603,63;54088,53;49651,10;51892,67;42486,03;53064,24;60923,60;57266,81;47241,96;37027,93;46955,43;40637,67;59687,41;46616,12;44013,98;48403,78;52339,81;39785,74;46086,58;41245,33;56965,87;41100,60;49400,50;48636,98;57251,99;40058,54;53912,97;43744,84;46300,45;50820,69;50186,05;44023,10;1680358,85
"110170 Urupá";-;-;7,30;52172,59;39009,70;32892,41;40056,13;19407,91;36161,00;45766,40;56742,34;41276,25;38665,89;51411,88;60055,86;36832,36;47746,24;56415,38;55573,14;53194,79;53532,05;48513,58;40691,43;53942,68;42984,34;55174,18;46040,57;46191,14;55072,13;49446,32;35253,46;43228,49;47540,91;73189,86;52099,67;52446,50;53111,47;47046,07;45733,04;1704625,46
"110175 Vale do Anari";-;-;-;18256,34;12375,64;15109,50;15584,39;8856,53;9259,15;11981,18;25430,84;23940,44;20109,91;19260,16;17879,34;23045,77;11032,64;18449,98;26092,53;25723,03;24427,33;22995,95;18486,96;27472,41;16083,64;21480,39;26500,29;23605,94;22269,13;22046,88;19447,80;27005,97;20405,57;23690,05;24124,63;30032,22;28723,60;21822,69;26712,20;749721,02
"110180 Vale do Paraíso";-;-;864,00;37854,86;42056,07;30325,48;41620,95;37990,61;40759,45;42167,55;37495,04;33835,64;24807,02;38502,07;31198,42;31690,00;36560,70;38053,36;28536,65;29251,74;33244,65;30634,05;37086,38;40053,92;35117,39;16965,95;25553,16;25256,46;13223,52;19759,20;23913,73;25429,98;22780,59;30485,45;27590,35;12318,63;21233,45;32533,37;27158,05;1103907,89
"110030 Vilhena";-;1755,00;3540,58;745826,89;644962,28;601272,73;531065,40;565804,53;633697,69;595573,34;734921,81;517415,58;526059,78;564619,61;498806,77;401073,03;384533,69;673859,76;652809,29;510910,91;557188,63;632218,39;593290,55;618033,87;534280,12;544731,58;541296,66;502101,60;465635,29;465281,06;428753,68;458976,92;445045,63;546522,98;532947,68;467969,99;499349,74;484017,82;549319,66;19655470,52
"110000 Município ignorado - RO";-;-;-;73,55;-;-;9,90;1142,90;2325,39;64,26;582,40;136,39;278,98;542,30;942,50;847,44;4978,16;339,84;1190,58;73,97;996,49;130,94;167,20;2881,79;796,90;918,85;428,45;1204,29;4669,22;275,43;510,15;430,00;375,00;1420,00;101,05;753,50;375,00;65,38;1943,58;31971,78
"120001 Acrelândia";-;-;46,57;19798,01;23345,80;22737,62;20811,41;22688,41;21787,75;18565,37;20056,99;26008,94;22701,79;22961,45;19664,51;26061,54;33729,07;27942,15;35218,99;28473,52;23908,56;15310,42;23847,32;15243,87;27735,86;22788,87;21681,76;25295,22;19447,38;19466,22;22229,73;13587,48;18294,84;18138,75;13965,97;18247,32;19304,14;14740,18;12976,93;778810,71
"120005 Assis Brasil";-;-;-;2745,88;3015,07;1683,01;9545,55;1953,04;14099,07;11748,06;2873,99;3710,90;2735,76;5480,68;9539,25;4501,64;4058,63;2893,54;2871,36;10092,91;5901,46;2861,55;9211,89;3990,95;2426,88;4592,88;2715,20;4697,70;5990,27;6647,63;9910,35;10527,37;8969,97;6924,53;6004,82;10293,62;25371,99;7953,57;29667,50;258208,47
"120010 Brasiléia";-;17,00;555,00;33321,08;27534,54;23755,29;38678,99;36788,17;43492,19;31772,46;60061,91;59983,49;60327,21;46097,89;68002,90;38538,13;28758,13;52378,26;49676,27;55150,19;34951,18;47845,00;43426,84;41238,65;79438,21;31698,30;36585,53;31884,18;27620,53;25246,51;28449,18;30621,98;37563,30;42532,43;58990,71;53744,35;45649,93;45205,49;80842,55;1578423,95
"120013 Bujari";-;301,50;301,50;3241,14;2905,82;6791,05;10781,99;11807,24;9461,99;7055,91;9066,02;8675,79;5295,04;9394,00;7855,07;6412,44;9270,06;14001,80;8057,02;14810,22;10345,47;11161,19;15350,00;15791,77;15648,99;9411,62;12861,48;9115,11;10775,31;13388,17;11934,68;13120,70;9434,34;19886,22;14653,55;13235,73;10561,97;7304,32;12674,67;382140,89
"120017 Capixaba";-;-;1018,00;8124,62;10110,28;5794,72;12925,33;8968,12;12256,73;15686,25;13755,06;16173,71;12701,21;16198,72;14123,06;9279,52;16869,46;20423,34;16567,51;18469,72;10903,90;15765,62;12357,07;8966,90;17581,87;19860,79;8685,10;13063,19;13432,03;11019,84;10876,19;7279,52;13478,27;12797,21;11281,89;13829,35;13875,67;11851,86;10833,45;467185,08
"120020 Cruzeiro do Sul";2202,30;5759,30;10604,59;210230,25;214559,30;188909,69;204577,93;217629,77;230862,74;272080,24;263148,96;190396,49;273297,40;290365,79;357789,88;204047,67;177837,21;183656,10;274669,47;258330,16;213057,86;229842,56;241600,49;217420,91;244682,31;184701,26;284625,11;266981,09;247174,06;292445,30;231231,30;296882,45;202420,33;202743,20;213750,50;153317,91;236707,35;208068,48;301653,49;8500261,20
"120025 Epitaciolândia";-;45,00;965,30;17365,76;16308,38;15698,98;29965,65;29833,39;28782,19;24618,51;30537,11;26500,37;32049,95;30640,65;61716,58;24667,20;28789,53;34649,97;53515,65;40719,34;21907,37;24663,98;46581,13;27578,33;39362,46;26655,90;32276,50;23674,72;21501,96;13386,89;16676,30;22731,50;19131,12;17294,20;21281,61;22187,53;20687,01;18651,58;32323,74;995923,34
