 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Óbitos por Município e Ano/mês atendimento
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:Jan/2012-Ago/2020
"Município";"2008/Jan";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"351450 Duartina";-;-;-;-;-;-;-;-;-;-;-;1;3;1;-;1;-;-;-;-;1;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;23
"351460 Dumont";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;10
"351470 Echaporã";-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;9
"351480 Eldorado";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;12
"351490 Elias Fausto";-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;1;1;-;-;-;-;-;-;2;-;-;1;-;-;-;1;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;1;-;1;-;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;-;27
"351492 Elisiário";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;8
"351495 Embaúba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"351500 Embu das Artes";-;-;-;-;1;4;2;4;4;1;1;4;1;1;2;3;7;2;3;3;4;2;3;6;-;9;3;2;4;3;3;8;7;3;2;2;4;3;4;4;2;6;3;2;5;5;4;7;2;3;2;3;4;4;1;2;7;4;4;1;1;4;5;3;2;1;6;3;5;3;4;4;1;2;5;2;3;6;6;3;1;1;3;1;6;1;1;5;5;7;4;5;3;3;-;4;5;2;1;7;4;3;3;-;2;2;8;5;5;2;358
"351510 Embu-Guaçu";-;-;-;-;1;-;1;-;2;3;-;-;1;3;1;1;1;2;1;1;1;-;4;1;-;1;3;2;-;1;2;1;2;-;-;-;1;-;2;1;1;-;1;1;-;-;3;2;-;-;-;-;-;1;2;-;2;-;-;-;2;-;3;-;1;1;1;-;-;-;1;1;1;-;-;1;2;1;-;-;1;-;-;1;1;1;-;-;2;1;1;1;1;2;-;2;2;1;3;-;3;2;-;1;1;-;-;3;-;3;101
"351512 Emilianópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;3
"351515 Engenheiro Coelho";-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;1;1;1;-;-;-;-;2;-;1;1;-;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"351518 Espírito Santo do Pinhal";-;-;-;-;-;1;1;-;-;-;-;-;-;-;1;-;-;1;1;-;1;-;-;-;-;-;-;-;1;2;-;-;-;1;-;1;1;2;-;1;1;3;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;1;1;-;-;1;-;1;-;1;-;-;-;-;-;1;1;-;1;-;-;1;1;1;1;-;3;-;-;-;-;-;-;-;1;-;2;-;-;-;1;1;-;2;46
"351519 Espírito Santo do Turvo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;10
"355730 Estiva Gerbi";-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;2;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;2;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;24
"351520 Estrela d'Oeste";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;18
"351530 Estrela do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
"351535 Euclides da Cunha Paulista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;1;1;-;-;1;-;-;-;-;1;-;2;-;1;-;-;-;-;2;-;-;-;-;1;-;1;-;-;19
"351540 Fartura";-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;1;-;2;1;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;1;-;1;2;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;1;-;1;1;-;-;-;-;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;31
"351560 Fernando Prestes";-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"351550 Fernandópolis";-;-;-;1;-;-;-;-;2;2;2;1;-;2;2;1;3;3;1;1;3;1;-;2;1;1;2;1;-;1;1;2;-;2;2;1;6;1;-;-;1;1;3;1;1;1;1;1;1;2;1;1;-;2;-;-;2;-;1;-;2;3;3;1;-;1;1;1;3;2;4;3;2;4;1;1;2;-;1;-;1;1;-;-;2;2;1;2;-;1;2;-;5;-;3;1;2;1;1;-;2;-;1;1;-;1;-;-;-;-;133
"351565 Fernão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"351570 Ferraz de Vasconcelos";-;-;-;1;3;3;6;-;4;9;4;6;4;8;3;8;2;1;4;6;7;9;4;5;4;6;1;9;3;1;6;5;2;3;4;4;5;4;3;3;4;7;4;9;5;2;5;4;4;3;4;6;3;6;3;-;2;3;1;1;3;5;1;1;1;1;5;3;1;2;2;3;4;2;-;1;1;1;1;4;2;6;3;7;3;5;4;4;2;2;2;1;6;3;2;7;3;2;4;3;3;4;3;1;5;4;4;1;3;4;381
"351580 Flora Rica";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"351590 Floreal";-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"351600 Flórida Paulista";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;1;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;1;-;-;-;-;1;-;-;2;-;-;1;1;1;-;-;-;1;-;-;27
"351610 Florínia";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351620 Franca";-;-;-;-;-;2;3;2;4;2;8;4;6;6;2;5;6;5;1;6;7;8;3;7;7;6;4;6;3;6;7;4;7;4;4;8;5;7;3;3;4;3;5;2;7;12;18;10;13;4;4;3;6;5;5;5;2;6;5;3;1;3;7;8;7;6;4;5;6;6;10;4;1;10;11;16;3;5;10;8;9;8;8;7;9;8;10;7;4;4;14;9;8;5;7;11;15;7;8;4;7;7;8;4;9;5;6;8;8;7;655
"351630 Francisco Morato";-;-;-;-;1;2;-;-;1;1;1;1;1;1;1;1;1;4;-;2;2;1;2;2;-;6;4;1;-;4;2;2;-;-;1;1;1;3;4;2;2;3;3;5;1;1;2;1;4;2;3;2;-;5;1;2;2;1;3;1;3;1;2;6;1;1;1;2;5;3;4;4;1;3;4;2;1;2;1;1;2;1;-;2;3;2;3;3;1;-;4;1;2;5;-;2;1;5;2;1;2;2;2;1;8;6;4;3;3;1;220
"351640 Franco da Rocha";-;-;-;-;-;-;1;-;2;3;1;-;-;1;2;1;-;2;-;1;-;2;-;1;2;-;5;2;1;-;-;-;1;1;1;2;1;-;1;-;1;-;1;2;1;2;-;1;2;-;-;1;2;1;1;1;2;-;-;1;-;1;2;2;-;-;1;-;2;1;1;1;1;-;-;1;-;-;-;1;-;-;4;1;-;-;-;3;1;1;1;-;1;1;4;1;1;-;1;-;3;2;-;-;2;4;2;1;1;-;102
"351650 Gabriel Monteiro";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"351660 Gália";-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"351670 Garça";-;-;-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;1;-;-;2;1;2;1;2;-;-;-;1;-;-;-;-;-;-;2;1;-;-;-;1;1;2;1;-;-;-;-;2;1;-;-;-;2;1;-;-;2;1;-;-;-;-;-;-;-;1;-;-;3;4;2;4;1;1;1;2;2;2;3;6;3;2;1;2;3;2;4;-;-;-;1;1;2;2;2;4;-;2;1;2;1;1;4;1;-;1;-;-;105
"351680 Gastão Vidigal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"351685 Gavião Peixoto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"351690 General Salgado";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;1;-;-;2;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;1;-;2;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;20
"351700 Getulina";-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351710 Glicério";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;5
"351720 Guaiçara";-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;1;-;-;-;-;-;-;14
"351730 Guaimbê";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;-;14
"351740 Guaíra";-;-;-;-;-;-;1;1;-;-;-;-;3;2;1;-;-;1;-;-;1;1;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;1;2;2;1;2;1;-;-;2;1;1;1;1;1;-;1;2;-;-;-;2;-;-;1;-;1;-;-;-;-;-;2;-;-;2;-;1;-;-;-;-;-;-;1;-;2;2;-;-;1;2;-;-;-;-;1;1;1;1;1;-;1;-;-;2;-;-;-;1;-;-;60
"351750 Guapiaçu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"351760 Guapiara";-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;1;-;-;-;-;-;-;2;-;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"351770 Guará";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;1;-;2;-;-;-;-;-;20
"351780 Guaraçaí";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;1;-;1;-;16
"351790 Guaraci";-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;1;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;20
"351800 Guarani d'Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"351810 Guarantã";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;12
"351820 Guararapes";-;-;-;-;-;-;2;1;1;4;2;1;1;2;1;3;1;3;2;1;2;1;5;2;3;4;1;-;-;-;3;3;2;3;1;3;1;2;1;2;3;2;1;4;2;1;1;2;1;3;7;4;3;5;1;-;-;2;1;3;2;2;2;2;1;3;3;3;-;1;2;2;-;-;-;-;1;1;-;1;-;-;1;-;3;-;-;4;1;-;1;1;1;-;-;1;-;1;-;-;1;1;-;-;-;2;-;1;-;-;155
"351830 Guararema";-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;1;-;3;-;-;-;2;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;1;2;-;-;-;-;-;1;-;1;-;1;2;-;-;1;4;-;1;1;-;2;-;1;-;-;1;-;-;-;1;-;-;-;1;-;1;-;-;1;4;1;-;3;-;-;-;-;1;-;-;1;1;2;-;51
"351840 Guaratinguetá";-;-;-;-;-;-;1;2;1;1;3;-;2;1;-;2;1;1;1;1;-;1;1;1;-;-;1;-;1;1;-;4;2;-;-;2;1;-;-;1;-;2;1;3;1;4;3;3;1;1;-;2;1;8;1;-;4;3;4;5;3;3;1;4;3;1;3;1;3;2;3;3;1;1;4;2;1;-;1;2;1;3;-;2;3;2;-;2;1;-;3;2;1;3;5;1;2;3;4;1;1;2;2;3;4;2;5;4;2;2;188
"351850 Guareí";-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;16
"351860 Guariba";-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;1;1;-;-;-;-;2;1;1;-;-;-;-;-;-;1;1;-;-;-;2;-;-;1;-;-;-;1;1;1;1;1;-;-;-;-;-;-;-;-;-;1;1;-;2;-;-;1;-;-;2;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;1;1;1;-;-;1;-;1;-;1;1;-;1;-;-;1;1;-;1;42
"351870 Guarujá";-;-;-;1;6;5;8;4;4;8;7;12;17;11;10;7;7;7;9;8;6;12;5;8;4;8;7;7;4;3;6;13;9;6;11;5;6;2;4;14;12;7;8;8;8;5;8;4;9;11;8;3;5;5;7;3;8;6;2;5;3;4;4;3;5;7;4;8;6;4;10;9;6;5;3;5;3;9;2;10;-;9;5;5;5;3;5;3;7;7;5;4;5;5;7;6;9;7;2;8;2;4;7;5;1;11;7;7;5;10;679
"351880 Guarulhos";-;-;-;-;2;12;17;19;32;12;19;21;23;19;14;11;25;21;11;16;19;23;28;27;30;19;17;28;19;25;26;17;22;18;32;24;20;24;17;16;23;25;14;14;28;31;30;27;32;22;21;18;21;31;27;17;33;21;25;30;30;26;28;28;17;23;25;26;26;23;26;26;31;35;32;30;14;25;22;18;19;22;15;24;24;16;31;24;20;29;21;22;24;26;31;34;32;19;25;21;21;32;32;23;38;57;45;37;25;10;2525
"351885 Guatapará";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;-;1;-;1;-;-;2;-;1;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;16
