 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:Jan-Ago/2020
"Município";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"150460 Mocajuba";-;-;110,70;56567,20;68132,24;72201,78;64664,61;50074,20;69401,57;76285,65;30990,57;488428,52
"150470 Moju";45,00;20,00;2081,00;203848,44;145990,23;123263,54;93166,13;79401,25;131368,21;119664,00;91521,42;990369,22
"150475 Mojuí dos Campos";-;-;-;74180,81;45568,43;56269,97;39963,10;38247,92;44547,65;53902,07;38458,64;391138,59
"150480 Monte Alegre";-;7,30;149,21;159092,80;162699,92;122802,20;62454,91;48688,37;90776,86;81814,94;74014,55;802501,06
"150490 Muaná";-;135,00;52,30;23034,11;30994,67;27663,48;19933,68;16019,72;15132,53;24079,08;27915,48;184960,05
"150495 Nova Esperança do Piriá";-;10,00;4718,76;75467,54;68336,20;62746,66;49830,63;34960,91;43586,57;59246,07;53629,94;452533,28
"150497 Nova Ipixuna";-;-;2280,17;18149,51;43785,94;32914,59;20636,81;21380,11;23300,00;16466,43;20590,01;199503,57
"150500 Nova Timboteua";-;10,00;48030,68;27383,37;26118,12;38879,67;18265,69;8132,21;28927,58;21275,53;27849,53;244872,38
"150503 Novo Progresso";-;-;740,10;48223,66;74113,23;80000,72;35694,88;57511,95;57235,62;55103,68;39276,73;447900,57
"150506 Novo Repartimento";6,30;-;104,27;101625,03;116965,72;111193,48;78638,87;73751,87;74348,28;78805,81;51135,85;686575,48
"150510 Óbidos";-;-;-;121227,97;118245,21;117828,36;42310,16;46886,31;49763,56;55897,81;41388,22;593547,60
"150520 Oeiras do Pará";45,00;-;623,72;18693,64;24979,64;16227,07;11320,81;11969,80;16509,57;17581,65;20700,98;138651,88
"150530 Oriximiná";-;560,00;3316,97;216129,99;237057,92;84286,25;99056,91;80427,30;102352,72;64445,82;79232,44;966866,32
"150540 Ourém";-;-;183,65;62768,24;64613,43;55597,75;22281,47;25047,62;30829,20;27617,93;28273,28;317212,57
"150543 Ourilândia do Norte";16,30;18,90;16,30;51221,65;46063,77;48581,37;46047,24;50607,38;69701,26;80682,68;35198,34;428155,19
"150548 Pacajá";45,00;360,00;727,10;69695,89;62953,37;59698,22;33154,12;30617,68;41330,75;39119,93;46685,43;384387,49
"150549 Palestina do Pará";-;-;-;6796,06;8984,38;9892,11;3902,46;1219,72;1397,13;1047,56;892,30;34131,72
"150550 Paragominas";-;7,30;131,94;368929,76;377430,98;401749,61;416271,32;360379,82;361681,88;379744,30;440172,44;3106499,35
"150553 Parauapebas";1150,70;8871,27;7002,32;605490,20;630816,82;531434,19;248595,44;246155,20;329197,73;388276,69;466922,81;3463913,37
"150555 Pau D'Arco";-;-;-;27091,69;32742,63;31723,92;23437,51;20667,46;19404,32;23632,43;28141,37;206841,33
"150560 Peixe-Boi";-;-;384,13;12275,86;11693,43;12685,56;5155,55;4647,89;8044,79;16857,28;9934,45;81678,94
"150563 Piçarra";-;-;-;5548,79;13537,18;5948,29;11842,43;10888,38;9939,17;10669,72;10848,20;79222,16
"150565 Placas";282,08;-;-;29222,04;94574,89;80355,20;22586,32;19942,99;26345,25;26227,01;11622,22;311158,00
"150570 Ponta de Pedras";-;-;96,97;37083,88;26259,50;36695,06;26081,98;27879,74;26424,75;30229,13;33622,44;244373,45
"150580 Portel";-;-;1627,03;321401,00;27685,58;27052,68;16817,69;20907,20;25152,35;16335,48;20677,62;477656,63
"150590 Porto de Moz";45,00;270,00;97,30;78949,43;78531,96;71524,89;16187,13;79881,36;25471,87;28885,72;21112,56;400957,22
"150600 Prainha";-;-;-;33234,62;52662,23;48292,12;46245,81;31252,75;53225,22;67359,89;48358,47;380631,11
"150610 Primavera";-;-;262,94;41580,61;38834,34;31119,42;28340,13;24054,33;26473,29;28298,40;37324,33;256287,79
"150611 Quatipuru";-;-;105,57;25237,61;22551,28;20388,37;15514,53;16029,96;21715,73;29164,58;26053,61;176761,24
"150613 Redenção";-;8,30;26,60;347347,32;349919,24;358742,83;327197,26;294706,51;329410,95;334840,56;396552,69;2738752,26
"150616 Rio Maria";-;-;5533,90;72000,43;70116,09;76347,50;61535,88;56789,95;58823,96;58656,67;61853,76;521658,14
"150618 Rondon do Pará";6,97;-;9282,84;121084,57;119624,86;160128,94;101724,52;145661,56;109225,66;127847,63;96211,40;990798,95
"150619 Rurópolis";-;-;45,00;40854,30;32946,43;37605,97;33833,17;16642,54;11928,03;31276,95;20944,81;226077,20
"150620 Salinópolis";-;1452,00;1444,25;166028,85;128893,30;128242,61;148021,46;88625,30;111415,37;134903,59;82716,34;991743,07
"150630 Salvaterra";-;10,00;1294,05;26815,77;30872,98;25723,30;16145,95;12325,97;16809,93;11417,69;17364,94;158780,58
"150635 Santa Bárbara do Pará";-;-;108,84;47535,95;46869,33;47538,74;36011,00;36920,39;41781,10;44162,17;39796,45;340723,97
"150640 Santa Cruz do Arari";-;-;602,07;7130,52;7698,46;8202,75;13898,14;7709,78;6750,22;12755,24;7502,26;72249,44
"150650 Santa Izabel do Pará";-;-;564,37;175347,35;205296,78;182517,33;136172,63;120690,17;165586,56;191034,18;145215,50;1322424,87
"150655 Santa Luzia do Pará";-;-;4753,72;42289,90;65768,20;53807,68;45694,91;33937,34;41380,29;51032,07;37604,22;376268,33
"150658 Santa Maria das Barreiras";-;-;-;44960,10;40306,45;44553,72;35675,24;33018,20;28714,92;35008,90;19033,01;281270,54
"150660 Santa Maria do Pará";-;-;363,38;98712,90;98929,63;92756,43;87829,80;71810,37;74095,06;80709,29;69749,61;674956,47
"150670 Santana do Araguaia";-;-;-;108261,91;107586,32;100379,50;71769,24;61462,77;102639,65;88233,52;92839,79;733172,70
"150680 Santarém";-;111,90;823,33;1749848,96;1715145,64;1727442,16;1585496,44;1253778,53;1706962,21;1774375,41;1677690,93;13191675,51
"150690 Santarém Novo";-;-;283,59;3281,94;8191,77;10118,00;3264,06;3671,88;7043,85;7693,36;5270,17;48818,62
"150700 Santo Antônio do Tauá";-;7,30;1615,84;75592,79;83125,95;72867,84;56797,15;66632,78;70897,58;70506,93;71732,64;569776,80
"150710 São Caetano de Odivelas";-;10,00;216,85;48256,83;43821,75;35397,52;35525,12;28260,33;32678,74;32966,68;34012,50;291146,32
