 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Internações por Município e Ano/mês atendimento
Lista Morb  CID-10: Outras tuberculoses respiratórias, Restante de tuberculose respiratória, Outras neopl malig órg respirat e intratorácicos, Outras doenças do trato respiratório superior, Outras doenças do aparelho respiratório, Outros transt respiratórios orig período perinatal
Período:Jan/2012-Ago/2020
"Município";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"350930 Cajobi";-;-;-;-;-;1;3;2;1;5;2;1;3;5;1;4;4;2;4;1;3;2;1;1;4;1;-;2;3;3;2;8;4;-;3;6;1;6;3;1;3;3;4;2;5;1;2;4;1;3;-;6;-;2;3;3;2;1;2;2;2;3;5;2;7;6;1;2;-;3;1;3;3;2;5;3;4;4;1;3;1;1;2;4;2;4;2;6;2;5;2;1;3;4;4;2;2;1;2;3;4;2;2;1;2;-;-;1;-;1;-;268
"350940 Cajuru";-;-;-;-;-;-;1;5;3;4;4;2;3;5;6;3;5;1;2;4;6;3;7;7;7;7;9;4;3;1;2;4;3;4;8;12;4;8;2;4;5;4;11;2;4;6;8;12;3;14;4;5;9;7;7;4;8;7;8;12;9;10;3;4;6;5;4;8;2;6;5;8;8;8;1;6;7;5;2;7;4;6;4;6;4;9;3;8;6;4;10;5;2;7;10;3;5;8;7;5;4;5;6;7;4;6;8;1;2;1;3;570
"350945 Campina do Monte Alegre";-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;1;1;-;-;1;1;-;-;-;-;1;-;-;1;1;-;-;-;-;1;-;-;1;-;1;-;1;-;-;-;2;1;1;1;-;-;-;-;-;-;-;-;-;1;2;-;1;-;1;-;1;-;1;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;34
"350950 Campinas";-;-;1;6;31;58;101;110;107;177;159;174;179;124;141;126;124;127;124;119;116;188;234;245;220;188;203;191;185;170;150;141;136;152;209;231;206;199;217;163;175;144;130;147;169;202;272;251;228;191;202;172;173;144;112;106;120;193;203;234;238;172;142;154;184;144;159;142;156;214;219;245;194;196;204;183;156;190;141;125;159;166;249;262;270;193;226;186;227;175;187;168;165;203;267;289;294;227;197;185;183;204;220;189;185;219;169;163;137;163;57;19042
"350960 Campo Limpo Paulista";-;-;-;-;-;2;3;3;1;4;4;4;2;5;4;4;3;5;1;2;1;5;3;4;9;2;2;2;4;2;2;4;3;3;3;7;3;1;3;6;1;8;5;5;4;8;5;7;7;3;3;5;3;6;1;4;6;6;3;7;7;5;4;5;-;6;5;5;2;4;6;8;2;3;3;4;8;5;4;1;7;10;3;7;3;8;6;7;3;8;4;3;5;3;2;2;3;5;5;3;6;4;4;8;10;11;6;8;3;6;6;469
"350970 Campos do Jordão";-;-;-;-;-;-;3;2;5;4;1;2;3;2;2;2;4;7;2;1;2;-;3;2;7;3;2;3;3;4;3;7;1;5;3;1;3;3;5;1;7;1;-;1;1;7;6;1;3;3;3;4;1;7;-;2;4;2;2;3;1;-;4;2;6;2;1;4;4;7;2;6;4;4;1;3;4;1;3;7;1;2;1;3;5;6;2;1;9;1;4;4;3;-;9;1;4;4;4;-;1;3;4;4;3;-;4;7;3;8;2;328
"350980 Campos Novos Paulista";-;-;-;-;-;-;-;-;1;-;1;3;1;-;-;2;-;1;1;-;-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;1;2;-;-;-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;-;1;-;-;3;-;1;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;1;1;2;-;1;-;-;-;-;-;-;-;-;-;1;40
"350990 Cananéia";-;-;-;-;-;-;1;2;-;1;-;-;1;-;2;1;2;1;1;-;-;-;1;1;-;-;-;-;1;2;2;-;-;-;1;-;1;2;-;2;2;2;1;-;1;-;-;1;3;-;-;1;-;1;2;1;2;-;-;1;2;-;1;1;-;1;-;1;3;2;1;-;-;-;-;-;-;-;2;-;-;2;-;1;2;2;-;1;-;2;1;1;-;1;1;2;-;-;1;-;-;-;1;2;2;-;-;-;1;1;2;83
"350995 Canas";-;-;-;-;-;-;-;1;1;2;-;-;-;1;-;-;-;1;1;-;-;-;1;-;-;-;1;1;-;-;1;-;-;1;1;-;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;-;-;1;1;-;1;1;-;2;-;2;1;-;-;1;-;1;-;1;1;-;-;-;-;-;1;2;2;-;-;-;1;1;-;1;-;-;-;-;-;-;-;2;-;-;-;4;1;47
"351000 Cândido Mota";-;-;-;-;-;-;-;1;3;8;5;3;6;3;2;-;1;2;12;4;1;4;6;3;10;4;2;11;6;6;6;1;4;2;-;5;-;4;5;4;5;4;6;5;4;5;14;24;21;20;4;16;9;7;8;10;9;7;6;7;6;10;8;2;12;8;5;6;4;2;4;6;6;8;5;10;6;4;3;9;10;7;10;17;10;14;13;10;5;7;14;10;6;6;13;14;16;12;13;13;7;6;8;5;12;13;3;6;10;13;7;759
"351010 Cândido Rodrigues";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;2;-;-;-;1;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;1;-;-;-;1;2;-;-;-;-;-;-;1;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2;-;-;-;1;-;-;-;25
"351015 Canitar";-;-;-;-;-;-;1;-;-;1;-;1;1;-;-;-;2;-;-;-;2;1;-;-;-;-;-;-;1;1;1;-;-;-;2;-;1;-;-;1;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;2;1;-;1;-;1;-;2;-;-;1;1;-;2;1;1;-;-;-;-;-;-;-;2;2;-;3;-;-;1;-;-;-;1;46
"351020 Capão Bonito";-;-;-;-;-;-;3;4;1;3;2;4;5;4;7;4;3;5;4;3;1;4;7;7;3;2;-;8;4;2;3;3;3;1;3;3;3;2;6;5;2;5;1;-;4;7;3;4;1;5;2;2;3;4;3;4;3;6;3;5;2;3;4;3;3;4;3;5;2;3;3;9;5;4;4;4;2;3;2;2;2;3;3;8;-;4;1;4;4;1;4;1;1;3;7;4;2;4;1;4;1;7;6;5;2;2;3;2;2;4;3;357
"351030 Capela do Alto";-;-;-;-;-;-;-;-;-;-;1;2;2;-;-;1;-;-;1;-;-;-;1;3;1;1;-;1;1;1;-;1;-;1;3;-;1;3;-;1;1;-;3;1;-;-;-;2;1;2;1;-;1;1;3;-;-;-;1;-;-;1;-;1;-;-;3;2;-;-;-;1;-;3;1;-;1;-;-;1;-;7;1;1;3;2;6;2;-;1;1;1;1;1;1;1;2;2;1;1;3;-;-;-;-;1;-;-;3;2;-;101
"351040 Capivari";-;-;-;-;-;1;-;3;5;3;2;8;6;3;4;2;6;-;3;-;4;2;3;3;3;2;-;6;5;4;2;-;8;3;6;4;4;3;2;3;3;6;2;3;3;1;2;2;2;4;1;3;4;1;2;4;5;2;4;2;1;3;4;4;2;1;1;7;2;3;1;4;2;3;3;2;2;4;4;6;4;1;3;2;2;1;1;2;2;5;5;3;4;7;5;3;3;9;11;9;6;-;4;2;3;4;2;5;-;6;3;345
"351050 Caraguatatuba";-;-;-;-;-;1;3;13;9;15;8;13;10;8;6;7;16;9;7;12;6;9;7;7;12;8;10;15;9;12;10;12;8;13;9;12;7;3;11;9;7;8;11;17;7;19;8;6;7;11;2;5;6;8;16;9;13;16;13;10;18;19;17;17;15;11;12;18;13;12;11;5;12;11;14;10;7;16;19;9;17;14;13;23;19;8;11;16;13;16;17;18;17;19;13;9;11;11;9;9;8;8;7;15;13;11;9;27;30;17;13;1232
"351060 Carapicuíba";-;-;1;1;3;4;12;37;32;34;32;34;26;28;38;21;23;26;23;27;17;33;27;25;29;28;43;28;31;25;26;38;18;35;36;30;38;36;36;36;38;36;37;30;30;38;44;37;43;33;31;20;36;34;40;37;45;36;37;41;44;31;31;44;39;33;33;37;32;28;36;40;33;45;32;36;28;36;28;42;32;53;57;35;36;41;35;44;35;39;45;38;38;45;37;59;49;47;43;63;50;44;45;54;39;45;47;42;50;35;24;3794
"351070 Cardoso";-;-;-;-;-;-;-;-;1;3;-;1;2;2;1;-;-;-;-;2;4;1;-;1;3;3;-;-;-;2;4;1;-;-;3;-;1;1;1;-;1;3;-;-;1;2;1;1;1;-;2;1;1;3;1;3;1;1;1;1;1;3;4;1;-;-;-;-;1;1;1;2;-;2;1;-;1;-;1;2;1;1;1;1;2;1;-;-;-;-;4;3;-;3;-;1;3;1;-;-;1;1;-;1;1;-;1;-;-;-;-;110
"351080 Casa Branca";-;-;-;-;-;-;-;4;1;3;-;1;1;2;5;3;2;1;1;-;3;-;-;3;1;4;2;1;5;-;2;1;2;2;1;3;3;5;2;2;3;4;3;5;3;1;1;6;2;1;2;1;7;3;1;2;1;2;8;4;2;4;3;2;2;2;1;2;3;2;-;-;2;-;1;1;8;4;3;5;2;4;2;5;3;4;4;3;-;1;2;8;3;3;3;3;4;2;6;4;3;3;3;3;1;2;6;1;4;-;2;267
"351090 Cássia dos Coqueiros";-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;1;1;1;2;1;2;-;1;-;1;-;1;1;1;-;1;-;-;-;1;-;-;-;1;1;-;2;1;-;2;-;1;-;1;1;-;1;-;-;-;-;1;-;-;-;1;3;-;-;1;-;1;2;-;-;-;1;1;-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;1;-;1;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;50
"351100 Castilho";-;-;-;-;-;1;-;1;3;1;2;2;1;1;3;4;-;-;2;4;1;1;5;4;3;3;2;4;2;2;5;2;4;3;3;4;3;1;1;-;2;-;2;1;2;3;2;-;1;-;1;-;1;1;2;3;-;1;1;4;2;3;3;2;-;4;4;1;6;4;8;4;3;4;-;3;1;-;2;1;2;-;1;2;3;1;1;1;2;4;1;2;7;5;-;3;3;1;2;5;3;2;-;4;1;1;1;2;4;1;2;227
"351110 Catanduva";-;-;-;1;-;1;3;10;17;12;11;11;5;8;13;11;17;8;8;3;9;7;15;11;15;9;12;16;7;12;11;3;12;10;5;8;13;10;12;11;8;4;13;15;17;12;9;14;12;9;14;18;8;12;7;9;6;5;13;7;8;9;13;16;9;5;5;12;14;8;9;5;19;8;9;12;10;7;14;9;5;14;9;12;11;12;13;5;7;11;11;13;10;13;12;12;10;13;22;15;18;17;20;18;18;31;27;22;14;19;11;1205
"351120 Catiguá";-;-;-;-;-;-;-;-;1;2;2;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2;3;1;-;1;1;1;1;-;-;-;-;-;1;1;-;1;-;-;-;2;-;-;1;-;-;1;-;1;-;1;1;-;1;-;-;-;1;-;-;1;-;-;-;2;-;-;2;1;1;1;-;1;-;-;1;-;-;1;1;3;-;1;-;-;-;-;1;-;-;-;-;3;1;1;-;-;-;-;1;-;1;-;2;1;-;56
"351130 Cedral";-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;2;2;1;1;-;1;1;-;-;1;3;1;-;1;2;2;1;4;-;1;-;2;1;-;1;2;1;1;1;-;1;-;-;-;1;-;-;-;2;-;2;-;-;-;1;1;-;1;1;-;-;1;3;1;3;1;3;2;3;2;-;1;-;2;-;-;1;1;1;2;1;-;1;1;-;2;-;-;-;-;1;3;1;-;1;1;2;1;1;-;-;1;-;91
"351140 Cerqueira César";-;-;-;-;-;-;-;2;2;2;5;7;4;4;2;7;2;4;4;6;4;4;3;2;3;10;9;5;2;10;5;3;2;3;7;5;8;7;11;12;6;7;9;4;8;4;5;4;3;3;1;5;15;8;5;7;4;8;5;4;1;3;3;6;5;3;2;6;6;4;1;1;-;7;3;1;2;3;4;9;1;4;5;4;8;5;2;4;4;-;1;-;1;5;3;7;2;9;2;2;3;4;4;7;3;6;2;-;1;4;-;454
"351150 Cerquilho";-;-;-;-;1;2;-;1;1;6;1;1;3;3;6;4;6;1;3;2;2;1;1;3;-;1;2;4;6;1;3;2;3;1;3;4;1;2;5;4;2;2;4;2;-;2;1;6;3;1;2;1;6;3;5;3;-;4;4;4;1;1;2;1;2;3;2;6;-;5;4;3;1;3;-;-;1;1;4;-;1;2;3;4;3;5;3;4;4;3;5;1;1;1;1;2;2;-;3;3;2;1;2;7;1;-;3;1;5;5;8;271
"351160 Cesário Lange";-;-;-;-;-;-;-;1;1;-;2;1;1;2;1;-;-;1;-;-;1;-;1;1;1;-;-;1;-;1;-;-;3;5;1;4;4;2;2;1;-;1;4;1;-;2;-;-;-;-;1;-;3;4;-;1;2;-;1;-;1;-;-;4;1;1;1;2;1;1;-;1;1;1;2;1;1;-;1;-;-;1;-;-;-;2;-;1;2;3;2;1;1;-;2;-;1;-;1;4;3;2;1;3;-;2;-;1;1;2;-;114
"351170 Charqueada";-;-;-;-;-;-;2;5;-;-;3;2;-;1;1;-;1;1;3;1;-;4;3;3;1;5;3;2;3;2;1;-;2;-;1;-;2;4;-;1;1;2;1;2;2;1;1;2;-;2;3;1;1;2;1;2;1;1;-;-;-;1;5;1;1;1;-;4;1;-;4;-;1;-;1;-;-;1;1;1;1;1;1;-;1;1;2;-;2;3;2;4;5;2;3;2;1;-;-;2;1;-;1;2;2;1;-;1;3;8;1;159
"355720 Chavantes";-;-;-;-;-;-;-;1;1;2;-;3;4;1;-;1;1;1;1;2;2;2;1;1;-;3;4;1;1;2;3;1;4;2;4;2;4;1;1;1;-;-;1;1;1;3;1;1;2;2;1;3;-;3;4;3;1;2;4;2;3;2;2;3;3;3;1;1;2;2;3;1;3;1;2;2;1;2;1;-;1;1;2;4;2;1;2;2;1;2;1;3;7;1;4;4;5;1;5;1;1;3;3;6;1;1;2;3;4;3;-;208
"351190 Clementina";-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;1;1;-;3;-;2;2;-;3;1;-;1;1;2;1;4;1;-;2;1;3;-;1;2;-;2;1;1;-;-;1;2;2;-;-;1;-;1;1;1;2;-;-;-;-;-;-;-;-;-;1;2;1;-;1;1;-;2;-;1;-;2;-;1;-;2;-;-;1;-;1;-;1;-;1;-;3;1;-;1;1;3;-;-;-;-;3;-;-;-;-;2;1;1;3;-;87
"351200 Colina";-;-;-;-;-;1;1;-;-;-;3;4;3;4;-;2;1;-;2;2;1;3;2;1;3;2;1;3;3;1;1;-;2;-;2;1;1;1;1;-;1;-;-;-;3;-;4;1;-;-;-;-;2;4;2;2;2;1;6;2;2;2;2;-;-;5;1;4;4;2;-;-;1;-;2;1;-;3;2;-;-;1;-;1;3;2;1;1;2;3;1;4;4;2;2;2;1;-;1;1;1;2;-;2;3;1;2;2;1;1;-;160
"351210 Colômbia";-;-;-;-;-;-;-;-;-;1;1;4;-;-;-;1;-;2;-;-;2;2;3;2;-;-;1;-;1;-;-;-;-;1;-;1;1;-;-;1;4;-;1;3;-;-;-;2;-;2;1;-;-;-;-;1;-;2;1;1;-;-;-;-;-;1;1;-;1;2;-;2;1;-;1;-;2;-;-;-;-;1;-;1;-;1;-;2;1;1;1;2;-;1;1;2;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;70
"351220 Conchal";-;-;-;-;-;-;3;4;3;6;2;7;11;2;5;3;6;8;3;-;4;4;4;5;3;8;3;5;6;2;2;6;5;6;7;3;12;5;5;5;9;8;3;2;1;6;10;4;7;2;3;2;2;2;3;4;1;3;2;6;2;4;2;2;3;3;5;1;1;4;1;7;2;5;4;4;3;3;6;5;5;7;5;2;3;5;4;3;4;3;2;3;3;10;1;9;5;3;3;3;11;2;6;10;4;5;4;4;1;3;3;446
"351230 Conchas";-;-;-;-;-;-;-;-;4;5;6;4;2;4;6;4;-;1;-;2;2;3;4;2;4;4;5;5;6;2;2;4;5;4;3;3;6;1;1;2;1;1;2;1;2;2;2;1;6;2;-;1;1;-;-;1;1;2;3;4;5;4;-;1;2;2;2;5;2;3;3;3;2;5;4;4;1;1;-;1;1;-;6;8;4;4;-;3;-;2;2;4;3;3;2;6;2;2;4;3;5;3;1;1;3;1;3;2;1;-;-;268
"351240 Cordeirópolis";-;-;-;-;-;-;1;3;3;3;2;1;1;3;2;-;-;3;2;2;1;1;1;1;2;-;3;3;1;2;2;3;2;1;1;1;-;4;3;2;4;-;2;3;2;3;-;-;2;2;1;-;4;2;-;1;1;3;6;4;3;3;-;2;3;2;3;2;1;2;2;3;2;1;2;2;3;5;1;5;2;2;2;2;3;2;4;4;4;2;2;1;1;2;5;4;4;1;3;4;-;5;3;7;3;2;2;1;1;6;-;231
"351250 Coroados";-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;2;1;-;2;1;1;1;1;2;1;1;-;1;1;1;-;-;-;-;2;1;1;1;1;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;1;-;1;-;-;2;3;-;3;-;-;-;-;1;-;2;1;-;-;-;-;1;1;-;-;2;1;-;-;3;2;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;1;56
"351260 Coronel Macedo";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;2;2;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;3;1;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;1;-;1;-;-;-;1;1;-;2;-;1;-;1;-;-;-;1;1;2;2;1;-;1;1;1;-;-;-;-;1;1;-;-;1;44
"351270 Corumbataí";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;4;-;-;-;-;-;-;-;-;1;-;-;19
"351280 Cosmópolis";-;-;-;-;-;1;3;6;6;1;2;5;3;4;5;3;1;7;-;2;8;3;2;3;5;2;5;4;3;2;5;3;7;2;4;6;6;4;8;10;2;1;2;3;3;3;8;6;4;2;2;2;4;2;2;3;3;5;3;5;2;6;2;5;3;4;3;9;2;3;8;4;5;3;4;6;-;4;5;2;5;6;6;6;11;6;3;2;7;3;5;8;3;2;1;2;4;4;8;12;2;3;7;3;2;6;2;1;3;5;4;428
"351290 Cosmorama";-;-;-;-;-;-;-;1;-;-;1;2;3;2;1;1;4;1;1;3;-;-;1;3;-;-;1;-;-;-;-;-;-;-;1;-;2;-;1;1;-;-;-;2;-;-;-;-;-;-;1;1;-;-;5;2;2;1;2;1;-;1;1;1;-;-;-;-;-;-;-;-;-;1;1;2;1;-;-;1;-;-;-;-;-;1;-;2;-;1;-;1;-;1;2;1;-;-;1;-;1;3;-;-;1;-;1;-;-;-;1;73
"351300 Cotia";-;-;-;-;-;1;20;23;16;14;25;9;21;15;15;20;17;15;15;8;19;12;17;18;14;13;12;20;6;11;23;25;16;11;11;13;11;20;18;18;12;18;20;9;9;20;19;13;12;15;9;15;23;15;21;19;15;14;15;14;10;8;16;19;18;18;24;22;15;15;16;7;12;18;19;15;14;11;16;17;13;18;12;14;16;7;7;11;7;15;15;12;9;16;9;17;22;15;15;15;18;15;20;19;18;43;27;26;28;48;19;1705
"351310 Cravinhos";-;-;-;-;-;1;1;1;3;4;5;5;7;4;3;3;2;2;5;1;4;4;3;4;7;5;4;5;3;9;1;7;4;8;6;3;1;6;9;1;5;4;2;6;6;4;3;4;2;2;4;1;5;3;-;5;4;4;7;5;3;4;7;7;3;1;8;2;6;3;5;4;2;4;7;8;6;5;-;5;4;6;1;3;5;2;8;4;4;-;2;5;1;4;4;4;6;5;3;7;5;6;3;1;4;3;2;3;4;2;-;418
"351320 Cristais Paulista";-;-;-;-;-;-;-;1;-;2;-;-;-;-;1;2;1;-;-;-;-;1;-;-;-;1;-;1;1;-;-;-;1;-;1;1;-;-;1;2;-;-;-;-;-;-;-;1;1;1;-;-;2;-;2;-;1;1;2;-;-;-;1;-;1;1;-;1;1;3;1;2;2;-;-;-;1;-;2;-;1;1;1;-;2;1;3;2;2;1;1;-;-;1;-;-;-;1;1;1;1;4;-;-;1;2;1;-;1;3;-;76
"351330 Cruzália";-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;27
"351340 Cruzeiro";-;-;-;-;-;-;4;11;13;3;11;9;6;5;6;6;6;8;5;6;6;5;4;3;3;6;6;5;12;3;3;3;3;5;3;5;2;3;7;2;3;6;6;2;5;8;10;9;6;6;6;10;7;5;4;5;3;1;8;5;4;3;7;7;6;11;4;5;3;11;6;12;8;3;12;9;7;7;9;6;5;8;6;8;8;7;9;2;11;8;7;13;4;11;15;14;7;13;4;5;7;4;10;14;14;9;27;18;5;8;2;726
"351350 Cubatão";-;-;-;-;1;2;5;21;18;18;7;7;4;9;11;16;16;16;13;12;14;13;10;13;16;10;11;5;6;9;10;14;17;15;11;12;13;16;6;13;11;9;15;14;7;15;21;15;13;10;11;16;9;13;14;13;6;7;12;4;8;10;14;15;8;12;6;6;9;14;13;13;21;17;10;8;11;6;7;12;7;11;13;14;12;11;9;9;8;6;7;5;10;5;17;9;7;8;11;7;11;15;2;6;4;6;11;10;9;5;5;1135
"351360 Cunha";-;-;-;-;-;-;-;3;2;2;2;4;3;2;2;-;1;1;4;-;-;1;2;2;1;-;1;2;1;1;3;-;4;1;2;4;-;3;2;1;2;1;7;3;1;2;2;2;1;1;-;1;1;3;2;5;1;3;1;1;3;2;2;2;1;3;3;1;4;-;2;3;3;3;2;5;1;1;5;5;2;3;-;1;2;1;5;4;3;1;2;4;2;2;3;1;1;5;1;1;-;-;5;2;1;3;1;-;1;3;-;208
"351370 Descalvado";-;-;-;-;-;-;-;7;5;3;7;3;4;1;-;1;1;-;1;3;-;1;1;3;2;4;1;3;2;2;-;8;1;3;2;-;-;2;3;3;3;3;-;2;1;6;1;4;3;2;1;1;2;-;2;5;2;3;-;2;-;1;3;2;2;2;-;3;1;5;1;3;-;3;4;2;5;5;2;4;-;5;-;2;-;2;3;2;1;4;7;3;5;3;4;4;2;2;2;5;3;5;5;6;2;3;3;5;2;2;4;264
"351380 Diadema";-;-;-;-;5;15;30;47;61;52;41;50;70;50;53;55;63;61;43;58;39;43;53;65;51;58;53;56;58;58;53;55;57;55;54;58;55;48;60;61;72;51;50;45;58;58;58;68;58;51;56;43;44;62;58;56;47;52;60;67;79;74;67;64;60;50;62;65;59;60;71;69;66;54;62;48;67;56;51;61;51;61;58;68;68;58;46;50;52;43;43;73;47;73;37;53;53;58;49;51;58;50;49;52;45;50;40;67;80;57;30;5873
"351385 Dirce Reis";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;2;2;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19
"351390 Divinolândia";-;-;-;-;-;1;-;-;3;2;1;1;2;5;1;2;1;-;3;4;3;5;4;2;4;5;4;7;2;3;1;1;2;-;1;1;3;4;2;-;1;2;1;1;-;2;3;-;2;1;-;-;1;1;1;-;-;1;-;2;1;2;1;1;2;1;-;3;2;4;1;-;1;1;1;4;2;4;1;1;1;3;1;1;1;2;1;2;-;1;2;5;3;-;-;-;-;-;1;2;1;-;2;2;-;1;1;-;1;-;-;166
"351400 Dobrada";-;-;-;-;-;-;-;-;-;2;2;-;1;1;1;-;-;3;1;1;-;-;3;1;2;-;1;3;2;-;-;-;1;1;-;1;1;-;-;-;-;-;-;-;1;1;1;-;-;-;2;-;-;2;2;1;2;-;-;1;2;1;1;-;2;1;1;-;-;1;-;1;1;-;2;1;1;1;3;3;1;2;2;1;-;-;2;4;1;3;-;1;1;1;-;-;1;1;-;1;-;1;1;-;-;2;-;2;-;1;1;93
"351410 Dois Córregos";-;-;-;-;-;2;1;-;4;4;2;1;4;4;4;4;5;2;6;2;1;2;8;2;2;6;5;7;2;2;4;2;4;1;3;8;7;2;5;5;8;4;5;2;2;1;-;-;3;5;4;2;5;6;5;5;5;6;1;3;5;3;4;2;5;-;1;1;4;4;1;4;5;7;2;2;3;2;1;1;2;1;5;3;2;3;4;2;1;3;2;2;3;3;1;1;5;2;1;1;2;1;2;1;-;5;1;1;2;3;-;317
"351420 Dolcinópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;1;-;-;1;-;-;-;1;-;1;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;1;-;-;2;-;1;-;-;1;-;-;1;-;-;-;-;1;1;-;1;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;28
"351430 Dourado";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;1;2;1;1;1;-;1;-;1;-;1;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;-;-;-;-;1;-;-;1;1;-;1;1;-;-;-;-;1;-;-;-;-;1;-;-;-;1;1;-;-;2;1;-;1;2;1;-;-;1;2;-;-;4;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;43
