 Produção Ambulatorial do SUS - Brasil - por local de residência
Valor apresentado por Município e Ano/mês atendimento
Período:2018-2019
"Município";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"Total"
"120005 Assis Brasil";-;-;-;5963,23;4595,27;3963,20;3455,89;11866,92;9471,09;14028,30;7013,22;8517,93;7304,82;11036,14;6594,44;9480,34;5804,98;10148,93;13818,74;12957,88;12122,82;2941,33;2973,56;4208,37;8382,12;5652,73;10822,62;193124,87
"120010 Brasiléia";-;1700,00;1700,00;52714,27;43158,98;43651,64;36079,47;46402,15;52663,92;52952,55;48728,80;54794,31;57508,92;46254,64;57231,98;62783,04;90036,08;82176,86;68181,19;70548,03;68942,70;80371,86;68656,10;44678,30;81383,85;55827,03;47592,61;1416719,28
"120013 Bujari";-;-;-;17853,61;11662,20;14857,90;13157,86;18364,26;11405,30;12305,22;10437,19;8466,09;9833,45;8662,53;14865,61;13480,75;15424,92;11211,58;14606,24;23230,72;14231,09;21035,60;12359,11;18163,64;27397,78;20950,92;17845,76;361809,33
"120017 Capixaba";-;-;-;7970,66;6794,09;10562,46;9795,91;10925,09;5875,16;8892,41;10166,11;3919,21;5114,42;10919,30;7535,60;17324,51;17579,54;14365,45;9898,51;21428,15;19665,82;18051,71;25781,94;31285,26;35930,30;20722,39;12320,57;342824,57
"120020 Cruzeiro do Sul";-;4,00;41156,73;266050,01;225894,64;269635,90;283276,07;235106,71;211505,66;240364,08;241628,38;224647,09;238309,96;186314,64;430383,29;200720,42;188464,90;212772,64;223146,97;265032,16;283230,61;314495,81;280460,71;292794,99;333678,93;300543,97;269666,60;6259285,87
"120025 Epitaciolândia";-;751,00;2280,75;20414,46;19581,87;19400,37;29446,03;16541,81;18271,40;18691,23;18025,01;19881,71;18145,57;21687,06;22778,15;23988,09;24064,82;24696,44;30535,02;29037,77;22900,04;29885,58;24223,58;25349,71;43347,23;35802,95;33983,27;593710,92
"120030 Feijó";-;-;3883,59;50083,39;31746,06;47211,79;43408,47;47879,72;44847,55;50851,78;31104,27;36306,82;54841,57;36744,05;31953,51;41853,91;45084,30;46423,45;35584,11;27598,05;23728,93;56984,32;67139,32;38176,14;42947,48;27174,97;35207,26;998764,81
"120032 Jordão";-;-;774,54;10592,25;18392,26;25977,01;17362,53;12426,80;14105,11;16495,81;12857,31;15407,77;14391,01;4831,55;6038,96;4564,95;9451,48;16640,13;19503,11;15525,84;11147,21;13040,65;9121,20;18233,12;11943,23;18343,47;6601,56;323768,86
"120033 Mâncio Lima";1160,00;-;5632,24;21306,84;32409,48;24699,46;25948,44;24130,34;37857,29;47934,13;28177,05;26669,64;24455,50;14949,66;23217,16;36640,91;38662,26;18916,83;28470,99;32311,30;20769,98;35817,61;43405,68;35262,54;39110,71;33222,54;23051,04;724189,62
"120034 Manoel Urbano";-;-;1101,50;4572,80;10180,52;7675,33;16933,82;13239,36;19231,57;7276,41;22497,05;6614,16;15635,28;14983,40;17293,52;18690,23;20465,42;28307,36;31716,83;31483,28;21397,44;16930,26;20586,48;13601,55;18977,52;14057,26;16287,60;409735,95
"120035 Marechal Thaumaturgo";-;-;745,74;24111,04;13616,53;12940,00;26362,11;15039,64;12287,99;8278,42;15539,98;13830,31;15197,34;10717,11;12203,22;20274,68;15586,58;19190,96;20268,30;27491,64;19653,59;14381,16;8545,70;11009,74;17445,48;13066,33;11483,18;379266,77
"120038 Plácido de Castro";-;-;96,75;28398,10;17950,09;26958,62;29294,28;37232,17;25637,17;27049,90;33636,74;26433,27;22147,74;24671,66;31029,73;25087,86;32044,60;41883,35;33609,16;46340,15;33462,22;36353,18;40543,83;31817,74;50734,63;33809,76;23577,62;759800,32
